sa_2022_code,town_name,town_name_alt,county,method,distance_km
017050003,Tullow,,Carlow,within_settlement,1.12
017050004,Tullow,,Carlow,nearest_settlement,1.6
017051001,Tullow,,Carlow,within_settlement,0.68
017051002,Tullow,,Carlow,within_settlement,0.22
017051003,Tullow,,Carlow,within_settlement,0.58
017051004,Tullow,,Carlow,within_settlement,0.43
017051005,Tullow,,Carlow,within_settlement,0.38
017051006,Tullow,,Carlow,within_settlement,0.62
017051007,Tullow,,Carlow,within_settlement,0.63
017051008,Tullow,,Carlow,within_settlement,1.08
017051009,Tullow,,Carlow,within_settlement,0.53
017051010,Tullow,,Carlow,within_settlement,0.74
017051011,Tullow,,Carlow,within_settlement,1.05
017051012,Tullow,,Carlow,within_settlement,0.8
017051013,Tullow,,Carlow,within_settlement,0.71
017051014,Tullow,,Carlow,within_settlement,0.12
017052001,Tullow,,Carlow,within_settlement,1.34
017052002,Rathtoe,,Carlow,nearest_settlement,2.21
017053001,Rathvilly,,Carlow,nearest_settlement,3.16
017054001,Carlow,,Carlow,within_settlement,1.39
017054002,Carlow,,Carlow,within_settlement,1.02
017054003,Carlow,,Carlow,within_settlement,1.18
017054004/017054005,Carlow,,Carlow,within_settlement,1.06
017054006,Carlow,,Carlow,within_settlement,1.33
017054007,Carlow,,Carlow,within_settlement,1.15
026701100,Dublin city and suburbs,,Dun Laoghaire-Rathdown,within_settlement,5.98
027001001,Belturbet,,Cavan,nearest_settlement,4.23
027001002,Ballyconnell,,Cavan,nearest_settlement,4.2
027001003,Ballyconnell,,Cavan,nearest_settlement,3.08
027001004,Belturbet,,Cavan,nearest_settlement,4.8
027002001,Arvagh,,Cavan,nearest_settlement,2.88
027002002,Arvagh,,Cavan,nearest_settlement,1.19
027002003,Arvagh,,Cavan,within_settlement,0.32
027002004,Arvagh,,Cavan,nearest_settlement,2.98
027002005,Arvagh,,Cavan,within_settlement,0.32
027003001,Cootehill,,Cavan,nearest_settlement,4.72
027003002,Cootehill,,Cavan,nearest_settlement,2.34
027004001,Bailieborough,,Cavan,nearest_settlement,2.1
027004002,Bailieborough,,Cavan,nearest_settlement,3.4
027004003,Bailieborough,,Cavan,nearest_settlement,2.29
027004004,Bailieborough,,Cavan,nearest_settlement,2.91
027004005,Bailieborough,,Cavan,nearest_settlement,1.86
027004006,Bailieborough,,Cavan,within_settlement,0.66
027004007,Bailieborough,,Cavan,within_settlement,1.35
027004008,Bailieborough,,Cavan,within_settlement,0.76
027004009,Bailieborough,,Cavan,within_settlement,0.92
027004010,Bailieborough,,Cavan,within_settlement,0.77
027004011,Bailieborough,,Cavan,within_settlement,1.1
027004012,Bailieborough,,Cavan,within_settlement,0.74
027004013,Bailieborough,,Cavan,within_settlement,0.9
027004014,Bailieborough,,Cavan,within_settlement,0.59
027004015,Bailieborough,,Cavan,within_settlement,0.31
027004016,Bailieborough,,Cavan,within_settlement,0.22
027004017,Bailieborough,,Cavan,within_settlement,0.25
027004018,Bailieborough,,Cavan,within_settlement,0.41
027005001,Ballinagh,,Cavan,nearest_settlement,4.05
027005002,Ballinagh,,Cavan,nearest_settlement,3.86
027006001,Ballyconnell,,Cavan,nearest_settlement,2.56
027006002,Ballyconnell,,Cavan,nearest_settlement,0.86
