sa_2022_code,d_nursing_km,d_homecare_km,d_fci_km,d_nearest_km,support_nearby,nearest_type,nearest_loc,pr_distance,isolation,vulnerability,service_desert
227033005,0.77,6.71,30.0,6.71,1,homecare,county,49.7,48.44,45.85,22.79
227033006,0.78,6.86,30.11,6.86,1,homecare,county,50.18,59.23,46.87,23.52
227033007,0.62,7.47,30.73,7.47,1,homecare,county,51.91,60.25,64.96,33.72
227033008,0.87,7.47,30.67,7.47,1,homecare,county,51.92,64.43,69.7,36.19
227033009,1.72,7.45,30.37,7.45,1,homecare,county,51.85,46.89,55.7,28.88
227033010,1.36,7.57,30.62,7.57,1,homecare,county,52.15,32.95,53.13,27.71
227033011,1.67,5.91,29.1,5.91,1,homecare,county,47.12,42.23,27.5,12.96
227033012,1.4,6.31,29.48,6.31,1,homecare,county,48.46,33.34,36.53,17.7
227034001,2.81,9.26,32.71,9.26,1,homecare,county,56.03,45.4,52.42,29.37
227034002,0.78,6.62,30.15,6.62,1,homecare,county,49.38,36.75,46.56,22.99
227034003,1.77,6.56,29.53,6.56,1,homecare,county,49.15,62.42,55.57,27.31
227034004,1.85,5.59,28.83,5.59,1,homecare,county,45.95,32.68,35.18,16.17
227034005/01,2.69,5.78,28.53,5.78,1,homecare,county,46.63,37.09,38.64,18.02
227034005/02,1.85,6.73,29.65,6.73,1,homecare,county,49.74,64.03,41.31,20.55
227034006,0.45,7.33,30.87,7.33,1,homecare,county,51.56,39.2,39.14,20.18
227035001,9.0,11.62,14.33,11.62,6,homecare,town,61.06,31.28,47.23,28.84
227036001,4.5,5.03,7.72,5.03,6,homecare,town,43.74,23.48,43.75,19.14
227036002,5.8,3.86,7.87,3.86,6,homecare,town,38.74,44.33,55.55,21.52
227036003,5.1,3.85,7.66,3.85,6,homecare,town,38.72,20.11,50.56,19.58
227036004,6.82,6.58,9.9,6.58,6,homecare,town,49.28,49.7,45.34,22.34
227036005,6.99,7.01,10.15,7.01,6,homecare,town,50.61,35.88,54.91,27.79
227036006,5.84,5.5,8.87,5.5,6,homecare,town,45.57,53.32,66.89,30.48
227036007,4.43,2.59,6.56,2.59,6,homecare,town,31.05,29.98,50.27,15.61
227036008,3.81,2.77,6.42,2.77,6,homecare,town,32.56,19.98,41.48,13.51
227037001,4.36,16.94,18.55,16.94,8,homecare,town,74.53,38.02,54.89,40.91
227038001,15.02,14.15,21.28,14.15,4,homecare,county,67.8,38.51,49.07,33.27
227039001,10.82,10.81,26.92,10.81,1,homecare,county,59.48,36.22,48.8,29.03
227039002,13.79,12.52,25.21,12.52,3,homecare,county,63.18,46.52,52.01,32.86
227040001,12.94,16.35,19.07,16.35,7,homecare,town,73.06,44.48,61.89,45.22
227040002,12.33,15.13,17.85,15.13,7,homecare,town,70.13,73.31,55.41,38.86
